"Timestamp","What style of Watchface do you prefer most?","Do you prefer simplified or busy watchfaces?","Which of the following displays do you like in a watchface?","Do you use vibrate on bluetooth disconnect/reconnect features?","Do you use seconds hands on a watchface?","What kind of visual customisations do you prefer?","Do you use wrist actions? (eg. Flick to show XX)","If yes, what information do you like to see displayed from wrist actions?"
"2022/11/11 7:32:15 PM GMT","Digital","Simplified","Date;Weather;Temperature;Battery","Yes","No","Changing based on factors (temp, time of day, weather, etc)","No",""
"2022/11/11 7:56:54 PM GMT","Digital","Busy","Date;Weather;Temperature;Battery","Yes","No","Complete control of colour theming;Changing based on factors (temp, time of day, weather, etc)","No",""
"2022/11/11 8:37:28 PM GMT","Digital","Simplified","Date;Battery;Footsteps","Yes","No","Optional colour schemes;Different style/display options;Changing based on factors (temp, time of day, weather, etc)","Yes","Next appointment countdown (ETA);Weather"
"2022/11/11 9:11:55 PM GMT","Digital","Simplified","Date;Weather;Temperature;Battery","No","No","Different style/display options","No",""
"2022/11/11 9:28:38 PM GMT","Analog","Busy","Date;Weather;Temperature;Battery;Moon or Sun cycle","No","Yes","Optional colour schemes;Different style/display options;Changing based on factors (temp, time of day, weather, etc)","No",""
"2022/11/11 11:00:23 PM GMT","Digital","Busy","Date;Weather;Temperature;Battery;Footsteps","Yes","Yes","Optional colour schemes;Changing based on factors (temp, time of day, weather, etc)","No",""
"2022/11/12 1:26:15 AM GMT","Digital","Simplified","Date","No","No","Optional colour schemes","No",""
"2022/11/12 1:43:27 AM GMT","Digital","Simplified","Date;Temperature;Battery","Yes","No","Different style/display options;Complete control of colour theming","Yes","Battery;Steps"
"2022/11/12 1:47:59 AM GMT","Digital","Busy","Date;Weather;Temperature;Battery;Bluetooth;Footsteps","Yes","No","Optional colour schemes;Different style/display options;Complete control of colour theming","No","Time;Date;Battery;Next appointment countdown (ETA);Weather;Steps"
"2022/11/12 2:05:12 AM GMT","Analog","Simplified","Date;Weather;Temperature;Battery","Yes","No","Different style/display options","No","Time;Battery"
"2022/11/12 3:02:59 AM GMT","Digital","Busy","Date;Weather;Temperature;Battery;Bluetooth","Yes","No","Optional colour schemes;Different style/display options;Complete control of colour theming","No",""
"2022/11/12 5:11:39 AM GMT","Digital","Simplified","Date;Temperature;Footsteps","No","No","Complete control of colour theming","No",""
"2022/11/12 6:14:07 AM GMT","Analog","Simplified","Date;Temperature;Battery;Footsteps","No","No","Optional colour schemes;Different style/display options;Complete control of colour theming;Changing based on factors (temp, time of day, weather, etc)","Yes","Time;Date;Battery;Weather;Steps"
"2022/11/12 5:32:39 PM GMT","Digital","Simplified","Date;Weather;Battery","No","Yes","Different style/display options;Complete control of colour theming;Changing based on factors (temp, time of day, weather, etc);P2 compatibility (grayscale color scheme)","No",""
"2022/11/12 8:55:58 PM GMT","Abstract","Simplified","None","No","No","Optional colour schemes","No",""
"2022/11/12 10:07:06 PM GMT","Abstract","Simplified","Date;Temperature;Battery","No","No","Optional colour schemes;Complete control of colour theming","No",""
"2022/11/12 11:35:39 PM GMT","Digital","Simplified","Date;Weather;Temperature;Battery;Bluetooth","Yes","Yes","Optional colour schemes","No","Time;Date;Weather"
"2022/11/12 11:40:08 PM GMT","Digital","Busy","Date;Weather;Temperature","No","","Different style/display options;Complete control of colour theming;Changing based on factors (temp, time of day, weather, etc)","Yes","Battery;Weather"
"2022/11/12 11:52:39 PM GMT","Digital","Busy","Date;Weather;Temperature;Battery;Bluetooth;Timezone","Yes","No","Different style/display options","Yes","Next appointment countdown (ETA)"
"2022/11/13 1:02:20 AM GMT","Analog","Simplified;Busy","Date;Weather;Battery;Bluetooth","No","No","Different style/display options;Changing based on factors (temp, time of day, weather, etc)","No",""
"2022/11/13 3:42:31 AM GMT","Digital","Simplified","Date;Temperature;Battery;Bluetooth","Yes","No","No customisation","No",""
"2022/11/13 5:59:37 AM GMT","Digital","Simplified","Date;Battery;Footsteps","No","No","Optional colour schemes;Different style/display options","Yes","Battery"
"2022/11/13 6:40:14 PM GMT","Digital","Simplified","Date;Weather;Temperature;Battery","Yes","No","Optional colour schemes;Different style/display options;Complete control of colour theming","No",""
"2022/11/13 8:38:20 PM GMT","Digital","Simplified","Date;Weather;Battery","No","No","Different style/display options;Changing based on factors (temp, time of day, weather, etc)","Yes","Battery;Weather;Steps"
"2022/11/13 10:36:54 PM GMT","Digital","Busy","Date;Weather;Temperature;Battery;Bluetooth;Footsteps;Sleep & Forecast","No","No","Changing based on factors (temp, time of day, weather, etc)","No",""
"2022/11/13 10:44:41 PM GMT","Digital","Busy","Date;Weather;Temperature;Battery;Bluetooth","Yes","No","Optional colour schemes","No",""
"2022/11/13 11:23:44 PM GMT","Abstract","Busy","Date;Weather;Temperature;Battery;Footsteps","Yes","No","Different style/display options;Changing based on factors (temp, time of day, weather, etc)","Yes","Time;Date"
"2022/11/14 3:39:34 AM GMT","Digital","Simplified","Date;Weather;Temperature;Battery;Footsteps","Yes","No","Optional colour schemes;Different style/display options","No",""
"2022/11/14 9:14:18 AM GMT","Digital","Simplified","Date;Weather;Temperature;Calendar week","No","No","Optional colour schemes;Different style/display options","No",""
"2022/11/14 9:15:09 AM GMT","Digital","Busy","Date;Temperature;Battery;Bluetooth","No","No","Optional colour schemes","No",""
"2022/11/15 1:53:20 PM GMT","Digital","Busy","Date;Weather;Temperature;Battery;Bluetooth;Footsteps","Yes","No","Optional colour schemes;Different style/display options","No","Next appointment countdown (ETA);Weather;Steps"
"2022/11/15 2:22:03 PM GMT","Analog","Busy","Date;Temperature;Battery","Yes","No","Different style/display options;Changing based on factors (temp, time of day, weather, etc)","No",""
"2022/11/15 5:47:11 PM GMT","Digital","Busy","Date;Weather;Temperature;Battery;Bluetooth;Footsteps","Yes","No","Optional colour schemes;Different style/display options;Complete control of colour theming","Yes","Next appointment countdown (ETA)"
"2022/11/15 6:03:14 PM GMT","Digital","Simplified","Date;Weather;Temperature","No","No","Complete control of colour theming","No",""
"2022/11/15 6:08:14 PM GMT","Digital","Simplified;Busy","Date;Weather;Temperature;Battery;Bluetooth","Yes","No","Changing based on factors (temp, time of day, weather, etc)","Yes","Weather"
"2022/11/16 7:24:29 AM GMT","Analog","Simplified","Date;Battery;Moon or Sun cycle","No","Yes","Optional colour schemes;Different style/display options;Changing based on factors (temp, time of day, weather, etc)","Yes","Next appointment countdown (ETA)"
"2022/11/16 10:39:54 PM GMT","I like the time only to be analog, and a lot of other info digital. Weather is most important. More of the others is great too.","Busy","Date;Weather;Temperature;Battery;Bluetooth;Footsteps","No","Yes","Optional colour schemes;Changing based on factors (temp, time of day, weather, etc)","No",""
"2022/11/17 4:53:39 AM GMT","Analog","Busy","Date;Weather;Temperature;Bluetooth;Footsteps","No","Yes","Optional colour schemes;Different style/display options;Complete control of colour theming","Yes","Time;Next appointment countdown (ETA);Message "
"2022/11/17 6:58:36 PM GMT","Digital","Busy","Date;Weather;Temperature","Yes","No","Optional colour schemes;Different style/display options","No",""
"2022/11/18 2:33:08 PM GMT","Digital","Busy","Date;Weather;Temperature;Battery;Bluetooth;Calendar ","Yes","No","Changing based on factors (temp, time of day, weather, etc)","No",""
